,logFC,AveExpr,t,P.Value,adj.P.Val,B,threshold
265649_at,0.10095933,9.688628181,0.731324864,0.479196569,0.96904122,-4.738526689,FALSE
246944_at,-0.121477301,9.158436922,-0.731308331,0.479206286,0.96904122,-4.738531578,FALSE
245890_at,-0.056201996,2.648768115,-0.731228356,0.479253288,0.96904122,-4.738555225,FALSE
246493_at,0.133934909,3.970313804,0.731200454,0.479269687,0.96904122,-4.738563475,FALSE
248589_at,-0.064040168,8.730517658,-0.731187916,0.479277056,0.96904122,-4.738567181,FALSE
254674_at,0.086279426,2.639417918,0.731051541,0.479357214,0.96904122,-4.738607498,FALSE
257667_at,-0.06811881,3.563117869,-0.730937609,0.479424187,0.96904122,-4.738641176,FALSE
262590_at,-0.083415538,10.59322739,-0.730882072,0.479456836,0.96904122,-4.73865759,FALSE
245219_at,-0.177372509,5.523466152,-0.730789209,0.47951143,0.96904122,-4.738685034,FALSE
245623_s_at,0.122790421,2.601718213,0.730785528,0.479513595,0.96904122,-4.738686122,FALSE
255208_at,-0.088301568,2.693508709,-0.73065339,0.479591286,0.96904122,-4.738725168,FALSE
251376_at,0.100082801,5.898725608,0.730624466,0.479608294,0.96904122,-4.738733715,FALSE
266684_at,-0.104609039,5.186634834,-0.73057262,0.479638779,0.96904122,-4.738749033,FALSE
265329_at,0.058876364,2.875259414,0.730406661,0.479736373,0.96904122,-4.738798059,FALSE
264071_at,0.124435317,3.720474014,0.730374882,0.479755062,0.96904122,-4.738807446,FALSE
264241_at,0.086979227,2.769505286,0.730285165,0.479807827,0.96904122,-4.738833945,FALSE
265021_at,-0.107543522,5.675705249,-0.730179792,0.479869806,0.96904122,-4.738865065,FALSE
252581_at,0.091005472,2.789561959,0.730150972,0.479886757,0.96904122,-4.738873575,FALSE
256628_at,0.088937653,8.803142406,0.73000625,0.479971889,0.96904122,-4.738916307,FALSE
267261_at,0.089688462,9.320088474,0.729969406,0.479993564,0.96904122,-4.738927185,FALSE
257844_at,-0.178246611,6.810440778,-0.729958687,0.47999987,0.96904122,-4.73893035,FALSE
264509_at,-0.084760653,7.729424405,-0.729849814,0.480063922,0.96904122,-4.738962491,FALSE
257082_at,-0.085732668,2.516534263,-0.729688172,0.480159029,0.96904122,-4.739010201,FALSE
261872_s_at,-0.071440507,7.740035625,-0.729595642,0.480213477,0.96904122,-4.739037509,FALSE
264129_at,0.091731747,3.70592128,0.72938424,0.480337888,0.96904122,-4.739099887,FALSE
252878_at,-0.082452087,8.599669465,-0.729230023,0.480428658,0.96904122,-4.739145382,FALSE
265980_at,-0.058724369,2.209857486,-0.728933824,0.480603027,0.96904122,-4.739232739,FALSE
265089_at,0.064762548,2.768601787,0.728869012,0.480641186,0.96904122,-4.73925185,FALSE
253241_at,-0.096755267,2.942162447,-0.728804663,0.480679075,0.96904122,-4.739270822,FALSE
247666_at,-0.08350559,2.458639703,-0.728774306,0.480696949,0.96904122,-4.739279772,FALSE
266252_at,-0.07860855,2.978387753,-0.728589558,0.480805741,0.96904122,-4.739334234,FALSE
262339_at,-0.088305062,2.738317568,-0.728219366,0.48102378,0.96904122,-4.739443326,FALSE
253978_at,-0.09332108,2.539060135,-0.728127677,0.481077793,0.96904122,-4.739470339,FALSE
257746_at,-0.083483168,6.929473332,-0.728096777,0.481095997,0.96904122,-4.739479442,FALSE
255374_at,-0.065049342,2.266464513,-0.728091415,0.481099156,0.96904122,-4.739481021,FALSE
251624_at,-0.061615997,8.838941357,-0.727845768,0.481243887,0.96904122,-4.739553374,FALSE
253033_at,0.058561492,8.182414028,0.727745557,0.481302937,0.96904122,-4.739582884,FALSE
252238_at,0.50573177,4.254091397,0.727687662,0.481337054,0.96904122,-4.739599932,FALSE
